key,開催日,開催場,クラス,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202201010101,2022年07月23日,1回札幌1日目,2歳未勝利  (混)(馬齢),1,1,1,アンテロース,牡2,54,武豊,1:53.5,,2-2-2-2,35.9,1.2,1,436(0),520.0,芝,1800m,曇,稍重
202201010101,2022年07月23日,1回札幌1日目,2歳未勝利  (混)(馬齢),2,3,3,トーセンウォルト,牡2,54,横山武史,1:53.6,クビ,4-2-3-4,35.8,11.3,3,450(-6),210.0,芝,1800m,曇,稍重
202201010101,2022年07月23日,1回札幌1日目,2歳未勝利  (混)(馬齢),3,5,5,トーセントラム,牡2,54,横山和生,1:53.7,3/4,2-4-3-2,36.0,4.3,2,412(-6),130.0,芝,1800m,曇,稍重
202201010101,2022年07月23日,1回札幌1日目,2歳未勝利  (混)(馬齢),4,2,2,エターナルジェイド,牡2,54,丹内祐次,1:54.4,4,1-1-1-1,37.0,17.2,4,432(-2),78.0,芝,1800m,曇,稍重
202201010101,2022年07月23日,1回札幌1日目,2歳未勝利  (混)(馬齢),5,4,4,クリノグローリー,牡2,54,菱田裕二,1:54.6,1.1/2,4-4-5-5,36.7,28.4,5,460(+6),52.0,芝,1800m,曇,稍重
202201010102,2022年07月23日,1回札幌1日目,3歳未勝利   (馬齢),1,3,3,インペリアルライン,セ3,55,秋山稔樹,1:47.0,,10-10-5-4,38.1,7.7,5,452(-2),520.0,ダ,1700m,曇,稍重
202201010102,2022年07月23日,1回札幌1日目,3歳未勝利   (馬齢),2,7,8,ジョーカーブラウン,牡3,56,丹内祐次,1:47.0,1/2,5-5-3-2,38.3,7.3,4,516(-2),210.0,ダ,1700m,曇,稍重
202201010102,2022年07月23日,1回札幌1日目,3歳未勝利   (馬齢),3,4,4,キングクー,牡3,56,吉田隼人,1:47.0,ハナ,1-1-1-1,38.5,3.4,2,494(0),130.0,ダ,1700m,曇,稍重
202201010102,2022年07月23日,1回札幌1日目,3歳未勝利   (馬齢),4,8,10,ベッサスタージル,牡3,56,横山和生,1:47.9,5,3-3-3-2,39.2,3.1,1,500(+4),78.0,ダ,1700m,曇,稍重
202201010102,2022年07月23日,1回札幌1日目,3歳未勝利   (馬齢),5,2,2,アスリエル,牡3,56,岩田康誠,1:48.1,1,5-5-5-6,39.2,12.5,6,464(+10),52.0,ダ,1700m,曇,稍重
