"key","開催日","開催場","開催回","クラス","クラス特徴","着順","枠番","馬番","馬名","性","年齢","斤量","騎手","タイム","着差","通過","上り","単勝","人気","馬体重","賞金","芝ダート","距離","天候","馬場"
"202301010101","2023年07月22日","札幌","1回1日目","2歳未勝利","(混)[指](馬齢)","1","5","5","サトミノキラリ","牡","2","55","横山武史","1:09.5","","2-2","34.3","1.2","1","452(-4)","550.0","芝","1200m","晴","良"
"202301010101","2023年07月22日","札幌","1回1日目","2歳未勝利","(混)[指](馬齢)","2","8","8","ベアゴーゴー","牝","2","55","浜中俊","1:09.5","クビ","1-1","34.5","4.1","2","454(+2)","220.0","芝","1200m","晴","良"
"202301010101","2023年07月22日","札幌","1回1日目","2歳未勝利","(混)[指](馬齢)","3","6","6","ハピアーザンエバー","牡","2","55","藤岡佑介","1:10.0","2.1/2","5-4","34.5","59.9","6","438(-6)","140.0","芝","1200m","晴","良"
"202301010101","2023年07月22日","札幌","1回1日目","2歳未勝利","(混)[指](馬齢)","4","4","4","デビルシズカチャン","牝","2","55","ルメール","1:10.2","1.1/2","3-3","34.9","16.6","3","450(+2)","83.0","芝","1200m","晴","良"
"202301010101","2023年07月22日","札幌","1回1日目","2歳未勝利","(混)[指](馬齢)","5","1","1","ウィスピースノー","牝","2","55","吉田隼人","1:10.3","1/2","8-8","34.5","23.9","5","434(-10)","55.0","芝","1200m","晴","良"
"202301010101","2023年07月22日","札幌","1回1日目","2歳未勝利","(混)[指](馬齢)","6","2","2","ロードスタウト","牡","2","55","鮫島克駿","1:10.7","2.1/2","5-6","35.1","61.8","7","454(-6)","","芝","1200m","晴","良"
"202301010101","2023年07月22日","札幌","1回1日目","2歳未勝利","(混)[指](馬齢)","7","3","3","コミックガール","牝","2","53","佐々木大","1:10.9","1.1/4","5-6","35.3","18.8","4","404(-2)","","芝","1200m","晴","良"
"202301010101","2023年07月22日","札幌","1回1日目","2歳未勝利","(混)[指](馬齢)","8","7","7","ヒポカンポ","牝","2","52","小林勝太","1:11.9","6","3-4","36.6","251.3","8","394(-2)","","芝","1200m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","1","7","9","クリーデンス","牝","3","54","ルメール","0:58.7","","1-2","35.6","2.4","1","496(+12)","550.0","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","2","6","8","ビップナージャ","牝","3","54","横山武史","0:59.6","5","2-1","36.5","15.1","5","420(-6)","220.0","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","3","3","3","リキサンクー","牡","3","53","小林勝太","0:59.6","ハナ","6-7","35.5","99.0","11","446(-4)","140.0","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","4","4","4","イミュータブル","牡","3","56","鮫島克駿","0:59.8","1.1/4","3-3","36.1","8.6","4","474(+10)","83.0","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","5","6","7","ステラヴェスパー","牝","3","54","藤岡佑介","1:00.0","1.1/4","6-4","35.9","31.8","9","430(-4)","55.0","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","6","5","5","ディーン","牝","3","54","横山和生","1:00.0","ハナ","6-7","35.8","5.2","3","460(+2)","","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","7","1","1","トウケイチョウテン","牡","3","56","斎藤新","1:00.3","1.3/4","4-4","36.5","243.5","12","454(-2)","","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","8","5","6","マジカルガール","牝","3","54","黛弘人","1:00.3","クビ","5-4","36.3","17.0","6","412(+2)","","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","9","7","10","グランツベリー","牝","3","51","今村聖奈","1:00.6","1.3/4","12-10","35.8","3.5","2","450(+4)","","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","10","8","11","エイユーマックス","牡","3","55","小沢大仁","1:00.8","3/4","10-10","36.3","22.0","7","476(-2)","","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","11","2","2","ジュレーヴ","牡","3","54","佐々木大","1:00.9","1","6-9","36.7","59.5","10","442(+8)","","ダ","1000m","晴","良"
"202301010102","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","12","8","12","メジャーエール","牝","3","53","松本大輝","1:01.1","1","10-10","36.7","31.7","8","450(+4)","","ダ","1000m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","1","7","11","ケイアイメキラ","セ","3","56","亀田温心","1:47.6","","11-10-6-4","38.4","8.4","6","462(+4)","550.0","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","2","3","4","ホウオウプレシャス","牡","3","56","丹内祐次","1:47.7","1/2","1-1-1-1","39.3","3.4","1","496(+2)","220.0","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","3","6","9","ナイトスピアー","牡","3","56","横山和生","1:48.2","3","14-14-4-3","39.4","4.8","2","472(0)","140.0","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","4","3","3","ジラルデ","牡","3","56","池添謙一","1:48.3","クビ","8-7-8-7","38.9","6.2","4","468(+12)","83.0","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","5","7","12","レイジングスラスト","牡","3","56","北村友一","1:48.5","1.1/2","2-2-2-2","40.0","5.7","3","536(+14)","55.0","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","6","6","10","アルセリア","牝","3","52","佐々木大","1:48.7","1.1/2","11-12-9-7","39.2","7.4","5","430(-8)","","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","7","5","7","エイチエヌバンピー","牡","3","56","山田敬士","1:48.8","クビ","7-7-9-7","39.3","214.9","14","430(-17)","","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","8","8","13","グレートキングベア","牡","3","56","横山武史","1:48.9","1","4-6-4-6","40.0","20.1","8","452(-2)","","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","9","4","5","ロードイモータル","牡","3","56","鮫島克駿","1:49.0","クビ","13-12-12-11","39.2","15.1","7","502(+8)","","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","10","5","8","シャンデル","牝","3","54","斎藤新","1:49.5","3","3-3-3-4","40.8","67.5","9","474(+12)","","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","11","8","14","オレノアイバ","牡","3","52","古川奈穂","1:50.2","4","8-9-12-12","40.3","175.3","12","446(-8)","","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","12","1","1","スングリダンダン","牝","3","54","黛弘人","1:50.6","2","4-3-6-10","41.4","179.8","13","446(+6)","","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","13","4","6","イズジョーノバトン","牝","3","51","今村聖奈","1:51.0","2.1/2","8-10-14-13","40.9","92.5","11","468(-6)","","ダ","1700m","晴","良"
"202301010103","2023年07月22日","札幌","1回1日目","3歳未勝利","[指](馬齢)","14","2","2","カンパナーダス","牡","3","55","横山琉人","1:52.2","7","4-5-11-14","42.6","81.9","10","490(-14)","","ダ","1700m","晴","良"
"202301010104","2023年07月22日","札幌","1回1日目","3歳未勝利","牝[指](馬齢)","1","6","9","サクセスアイ","牝","3","54","亀田温心","1:27.7","","13-10-9","34.3","19.7","8","426(+8)","550.0","芝","1500m","晴","良"
"202301010104","2023年07月22日","札幌","1回1日目","3歳未勝利","牝[指](馬齢)","2","1","1","ヒラリ","牝","3","54","ルメール","1:27.7","アタマ","3-5-4","34.8","4.1","2","456(-4)","220.0","芝","1500m","晴","良"
"202301010104","2023年07月22日","札幌","1回1日目","3歳未勝利","牝[指](馬齢)","3","8","13","マルメラーダ","牝","3","54","横山武史","1:28.1","2","3-2-3","35.3","3.8","1","444(+4)","140.0","芝","1500m","晴","良"
"202301010104","2023年07月22日","札幌","1回1日目","3歳未勝利","牝[指](馬齢)","4","5","6","ルカン","牝","3","54","横山典弘","1:28.1","クビ","3-6-6","35.0","8.3","5","418(0)","83.0","芝","1500m","晴","良"
"202301010104","2023年07月22日","札幌","1回1日目","3歳未勝利","牝[指](馬齢)","5","4","4","アラメダ","牝","3","54","浜中俊","1:28.2","3/4","6-6-7","35.1","9.9","6","442(+6)","55.0","芝","1500m","晴","良"
