"key","開催日","開催場","開催回","クラス","クラス特徴","着順","枠番","馬番","馬名","性","年齢","斤量","騎手","タイム","着差","通過","上り","単勝","人気","馬体重","賞金","芝ダート","距離","天候","馬場"
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),1,6,12,アカイトリノムスメ,牝,3,55,戸崎圭太,2:01.2,,6-5-5-4,35.9,8.9,4.0,448(-2),"10,336.0",芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),2,7,14,ファインルージュ,牝,3,55,ルメール,2:01.3,1/2,11-11-10-10,35.5,5.6,2.0,494(-2),"4,096.0",芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),3,5,9,アンドヴァラナウト,牝,3,55,福永祐一,2:01.4,1/2,4-5-5-6,36.1,7.3,3.0,432(-4),"2,548.0",芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),4,3,5,エイシンヒテン,牝,3,55,松若風馬,2:01.6,1.1/2,1-1-1-1,36.9,40.7,10.0,452(0),"1,500.0",芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),5,3,6,スライリー,牝,3,55,石川裕紀,2:01.7,クビ,9-10-10-11,35.9,223.0,15.0,432(+4),"1,000.0",芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),6,1,2,ステラリア,牝,3,55,武豊,2:01.7,クビ,11-12-12-12,35.7,38.1,9.0,490(+8),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),7,5,10,アールドヴィーヴル,牝,3,55,松山弘平,2:01.8,クビ,3-3-3-3,36.7,23.6,6.0,434(+4),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),7,8,15,アナザーリリック,牝,3,55,津村明秀,2:01.8,同着,9-8-7-7,36.3,35.8,8.0,490(+8),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),9,8,16,ミスフィガロ,牝,3,55,藤岡康太,2:02.0,1.1/4,13-13-12-12,36.0,72.3,12.0,420(+4),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),10,2,4,ソダシ,牝,3,55,吉田隼人,2:02.1,1/2,2-2-2-2,37.3,1.9,1.0,474(+2),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),11,1,1,スルーセブンシーズ,牝,3,55,大野拓弥,2:02.3,1,4-4-3-4,37.1,30.2,7.0,430(0),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),12,4,7,サルファーコスモス,牝,3,55,川田将雅,2:02.4,1/2,7-8-7-7,36.9,49.4,11.0,468(+2),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),13,6,11,ユーバーレーベン,牝,3,55,Ｍ．デム,2:02.7,1.3/4,15-15-14-14,36.3,10.6,5.0,464(+2),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),14,4,8,エンスージアズム,牝,3,55,岩田望来,2:02.7,クビ,13-14-14-14,36.4,256.9,16.0,430(+6),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),15,2,3,クールキャット,牝,3,55,和田竜二,2:04.3,10,7-7-7-9,38.8,96.5,13.0,514(-10),,芝,2000m,晴,良
202109040411,2021年10月17日,阪神,4回4日目,3歳オープン,(国際) 牝(指)(馬齢),16,7,13,ホウオウイクセル,牝,3,55,丸田恭介,2:04.5,1,16-15-16-16,37.8,178.7,14.0,428(-8),,芝,2000m,晴,良
