key,開催日,開催場,クラス,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202001010101,2020年07月25日,1回札幌1日目,2歳未勝利  [指](馬齢),1,6,6,ウインルーア,牝2,54,横山武史,1:49.7,,5-5-3-3,35.6,16.0,3,438(+4),510.0,芝,1800m,曇,良
202001010101,2020年07月25日,1回札幌1日目,2歳未勝利  [指](馬齢),2,2,2,アークライト,牡2,54,ルメール,1:50.0,1.3/4,3-3-4-3,35.8,1.9,2,510(0),200.0,芝,1800m,曇,良
202001010101,2020年07月25日,1回札幌1日目,2歳未勝利  [指](馬齢),3,3,3,ギャラントウォリア,牡2,54,池添謙一,1:50.1,1/2,2-2-2-2,36.2,1.8,1,482(-6),130.0,芝,1800m,曇,良
202001010101,2020年07月25日,1回札幌1日目,2歳未勝利  [指](馬齢),4,1,1,ジュンブーケ,牝2,52,亀田温心,1:50.5,2.1/2,1-1-1-1,36.7,22.2,4,442(0),77.0,芝,1800m,曇,良
202001010101,2020年07月25日,1回札幌1日目,2歳未勝利  [指](馬齢),5,4,4,キタノマンゲツ,牡2,54,藤岡康太,1:51.0,3,6-6-5-5,36.6,55.7,5,426(-8),51.0,芝,1800m,曇,良
202001010101,2020年07月25日,1回札幌1日目,2歳未勝利  [指](馬齢),6,5,5,アイフレンズ,牝2,54,黛弘人,1:52.7,大,3-3-6-6,38.0,73.9,6,426(-2),,芝,1800m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),1,3,4,バトルピアサー,牝3,54,川島信二,1:46.2,,1-1-1-1,39.0,2.7,1,406(-2),510.0,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),2,8,14,バーミーズ,牝3,54,丹内祐次,1:46.9,4,3-2-2-2,39.6,6.3,3,456(0),200.0,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),3,8,13,ノーブルローズ,牝3,54,大野拓弥,1:47.0,1/2,14-14-11-5,38.8,19.1,8,446(-2),130.0,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),4,4,6,グッドラックスター,牝3,54,荻野琢真,1:47.1,1/2,5-5-8-8,39.1,3.9,2,434(-6),77.0,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),5,3,3,デルマルビー,牝3,54,横山和生,1:47.3,1.1/4,8-11-10-3,39.2,16.8,6,462(-4),51.0,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),6,7,12,アマデトワール,牝3,54,藤岡康太,1:47.8,3,8-8-11-10,39.6,15.9,5,446(+4),,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),7,6,9,ミツルザビクトリー,牝3,52,亀田温心,1:48.0,1.1/2,12-12-14-10,39.5,56.1,12,438(-4),,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),8,5,8,キモンルビー,牝3,51,山田敬士,1:48.0,ハナ,2-2-2-5,40.7,41.8,11,462(0),,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),9,1,1,ムーンフェアリー,牝3,51,秋山稔樹,1:48.1,クビ,8-8-8-10,40.2,22.3,9,450(+6),,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),10,4,5,シゲルハクチョウザ,牝3,54,加藤祥太,1:48.2,3/4,4-4-4-4,40.7,25.4,10,444(-2),,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),11,6,10,フェデネージュ,牝3,54,岩田康誠,1:48.4,3/4,13-13-7-5,40.6,18.6,7,444(+4),,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),12,2,2,ラインキャロット,牝3,54,石川裕紀,1:48.9,3,8-8-11-13,40.6,133.5,14,430(+4),,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),13,7,11,サイモンベラーノ,牝3,54,柴山雄一,1:49.3,2.1/2,5-5-5-8,41.6,9.3,4,476(+4),,ダ,1700m,曇,良
202001010102,2020年07月25日,1回札幌1日目,3歳未勝利  牝[指](馬齢),14,5,7,クイックスタディ,牝3,53,団野大成,1:50.9,10,5-5-5-13,43.2,120.9,13,462(-8),,ダ,1700m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),1,2,2,フリークアウト,牝3,54,藤岡佑介,1:28.5,,3-2-4,35.0,2.9,2,448(-2),510.0,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),2,4,6,クァンタムリープ,牡3,56,ルメール,1:28.8,2,2-2-2,35.4,2.3,1,474(+4),200.0,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),3,7,12,クレアーレ,牡3,54,亀田温心,1:28.8,クビ,9-9-9,34.8,25.0,7,448(-12),130.0,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),4,3,4,タツハグンセイ,牡3,56,古川吉洋,1:29.0,1.1/4,1-1-1,35.8,12.9,5,464(+4),77.0,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),5,7,11,ラブアンバサダー,牝3,54,武豊,1:29.1,クビ,11-12-9,34.9,7.4,3,430(0),51.0,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),6,8,14,ルーターズ,牝3,54,藤岡康太,1:29.1,アタマ,6-5-5,35.4,10.3,4,402(0),,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),7,5,8,レッドキュリアス,牝3,54,横山武史,1:29.1,クビ,8-8-7,35.2,89.8,10,422(-4),,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),8,3,3,ミッキーローズ,牝3,53,団野大成,1:29.2,クビ,6-5-7,35.5,85.8,9,406(-10),,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),8,8,13,ブライドグルーム,牡3,56,浜中俊,1:29.2,同着,3-2-2,35.8,25.6,8,448(+4),,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),10,6,9,エンジェルエナ,牝3,54,池添謙一,1:29.3,3/4,9-10-9,35.2,90.1,11,426(0),,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),11,6,10,ミルキーハート,牝3,54,丹内祐次,1:29.4,1/2,5-5-5,35.8,23.8,6,448(0),,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),12,4,5,アンネローゼ,牝3,54,荻野琢真,1:29.9,3,13-13-13,35.5,211.3,13,444(-6),,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),13,1,1,ステーションワン,牡3,56,国分恭介,1:30.5,3.1/2,11-10-9,36.4,239.1,14,456(-6),,芝,1500m,曇,良
202001010103,2020年07月25日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),14,5,7,カドーダンジュ,牝3,54,大野拓弥,1:50.3,大,14-14-14,49.0,116.7,12,456(0),,芝,1500m,曇,良
202001010104,2020年07月25日,1回札幌1日目,3歳未勝利  [指](馬齢),1,8,13,エンペラーズパレス,牡3,56,水口優也,1:46.3,,1-1-1-1,38.2,42.2,10,492(-2),510.0,ダ,1700m,曇,良
202001010104,2020年07月25日,1回札幌1日目,3歳未勝利  [指](馬齢),2,2,2,マイネルパイオニア,牡3,56,横山武史,1:46.6,1.3/4,2-3-3-2,38.1,4.6,2,462(-2),200.0,ダ,1700m,曇,良
202001010104,2020年07月25日,1回札幌1日目,3歳未勝利  [指](馬齢),3,6,10,ウォータージョイ,牡3,56,国分恭介,1:46.8,1.1/4,9-7-6-6,38.0,37.1,9,476(-6),130.0,ダ,1700m,曇,良
202001010104,2020年07月25日,1回札幌1日目,3歳未勝利  [指](馬齢),4,5,7,モズナガレボシ,牡3,56,大野拓弥,1:46.9,1/2,4-3-3-4,38.3,5.2,4,488(+6),77.0,ダ,1700m,曇,良
202001010104,2020年07月25日,1回札幌1日目,3歳未勝利  [指](馬齢),5,3,3,サウンドトラック,牡3,56,ルメール,1:46.9,クビ,7-7-6-6,38.1,3.3,1,508(+10),51.0,ダ,1700m,曇,良
202001010104,2020年07月25日,1回札幌1日目,3歳未勝利  [指](馬齢),6,7,12,シェノン,牡3,56,吉田隼人,1:47.0,1/2,6-6-3-4,38.4,33.1,8,468(+2),,ダ,1700m,曇,良
202001010104,2020年07月25日,1回札幌1日目,3歳未勝利  [指](馬齢),7,5,8,サイモンバトラー,牡3,56,黛弘人,1:47.0,ハナ,7-7-6-6,38.2,210.0,14,458(-2),,ダ,1700m,曇,良
202001010104,2020年07月25日,1回札幌1日目,3歳未勝利  [指](馬齢),8,1,1,トクシーズファー,牝3,54,横山和生,1:47.2,1.1/4,11-10-10-9,38.2,49.3,12,434(+2),,ダ,1700m,曇,良
