key,開催日,開催場,クラス,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),1,4,7,オイデヤスダイジン,牝3,54,伊藤工真,1:13.3,,5-5,38.9,3.6,2,460(+2),510.0,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),2,1,1,グルアーブ,牝3,54,柴田善臣,1:13.3,クビ,12-11,38.0,17.2,5,432(+4),200.0,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),3,2,3,トーレスデルパイネ,牝3,54,岩部純二,1:13.7,2.1/2,9-9,38.7,199.0,12,458(0),130.0,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),4,3,6,デュープス,牝3,54,武士沢友,1:13.8,クビ,6-6,39.2,50.4,8,418(0),77.0,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),5,6,12,ディヴィニティ,牝3,54,マーフィ,1:13.8,クビ,4-4,39.7,1.6,1,536(-2),51.0,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),6,7,13,ノヘア,牝3,54,北村宏司,1:13.9,クビ,2-3,39.9,74.3,9,428(+8),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),7,7,14,エクメディノツルギ,牝3,54,内田博幸,1:14.2,2,6-8,39.6,121.7,11,424(0),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),8,3,5,シンキングアイル,牝3,52,菅原明良,1:14.4,1.1/4,12-13,39.1,82.2,10,460(-2),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),9,5,10,ラヴアンドゲーム,牝3,54,大野拓弥,1:14.7,2,2-2,40.7,28.8,6,434(0),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),10,5,9,サノレーヌ,牝3,51,藤田菜七,1:14.8,1/2,1-1,40.9,9.5,3,438(0),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),11,2,4,セルレア,牝3,53,菊沢一樹,1:14.9,1/2,6-6,40.2,14.5,4,464(+10),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),12,1,2,スルーザリミッツ,牝3,54,三浦皇成,1:14.9,ハナ,16-15,39.3,31.4,7,424(-4),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),13,8,15,ラブカワールド,牝3,51,小林凌大,1:15.3,2,15-16,39.9,474.2,15,436(+4),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),14,8,16,シラカワカツコ,牝3,51,山田敬士,1:15.4,3/4,9-10,40.4,233.1,13,404(+4),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),15,4,8,イズジョーボヌール,牝3,54,菅原隆一,1:15.6,1.1/2,12-13,40.3,561.3,16,450(+2),,ダ,1200m,晴,良
202006010101,2020年01月05日,1回中山1日目,3歳未勝利  牝[指](馬齢),16,6,11,コトブキノニ,牝3,54,横山和生,1:16.2,3.1/2,9-11,41.2,392.6,14,482(+18),,ダ,1200m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),1,4,7,リッターシュラーク,牡3,56,横山典弘,1:56.8,,11-12-15-8,39.0,5.9,3,490(+2),510.0,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),2,1,2,ブリジャール,牡3,56,マーフィ,1:56.8,クビ,7-6-4-3,40.2,1.5,1,494(-2),200.0,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),3,8,16,ジーマックス,牡3,56,松岡正海,1:57.4,3.1/2,3-5-4-4,40.8,5.0,2,536(+8),130.0,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),4,2,3,トキメキナイス,牡3,56,江田照男,1:57.7,1.3/4,14-13-12-9,40.0,153.8,9,462(-4),77.0,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),5,5,10,ドロス,牡3,56,木幡巧也,1:57.7,ハナ,9-9-7-4,40.8,14.7,4,500(+4),51.0,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),6,7,13,トリプルシックス,牝3,54,横山和生,1:58.0,1.3/4,2-2-2-1,41.8,32.9,7,466(0),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),7,6,12,セイウンヒロイン,牝3,54,大野拓弥,1:58.2,1.1/4,6-6-4-7,41.6,18.8,5,510(+2),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),8,1,1,ジョウハリ,牡3,56,勝浦正樹,1:59.6,9,11-11-10-11,42.2,234.0,11,432(-10),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),9,4,8,エリンクロノス,牡3,54,木幡育也,2:00.2,3.1/2,3-3-3-6,43.8,263.5,12,508(0),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),10,5,9,ラインキャンドル,牝3,54,武藤雅,2:00.6,2.1/2,7-8-9-9,43.4,396.9,14,476(-2),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),11,6,11,スズベルベット,牝3,54,三浦皇成,2:01.3,4,1-1-1-2,45.2,27.1,6,518(+2),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),12,8,15,シゲルカメレオンザ,牡3,55,菊沢一樹,2:01.4,クビ,13-13-12-14,43.8,533.9,16,472(+4),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),13,7,14,サンタラハシー,牝3,53,野中悠太,2:02.8,9,9-10-12-15,45.1,109.2,8,472(+4),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),14,3,6,エスケイサムソン,牡3,56,岩部純二,2:03.0,1,16-16-16-16,44.0,385.7,13,444(+8),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),15,3,5,ヒロノホマレボシ,牡3,53,山田敬士,2:03.1,3/4,14-15-10-11,45.7,482.7,15,442(+20),,ダ,1800m,晴,良
202006010102,2020年01月05日,1回中山1日目,3歳未勝利  [指](馬齢),16,2,4,ティンパニ,牡3,56,宮崎北斗,2:04.9,大,5-4-7-13,47.9,212.7,10,506(0),,ダ,1800m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),1,8,15,サザンレインボー,牡3,56,丸山元気,1:12.1,,1-1,37.3,3.9,3,542(+22),510.0,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),2,3,6,シルバージャック,牡3,53,藤田菜七,1:12.4,1.3/4,3-2,37.4,3.1,2,492(-2),200.0,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),3,8,16,ゼンダンロマン,牡3,56,松岡正海,1:13.7,8,11-9,38.0,77.5,9,452(0),130.0,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),4,1,1,バルドダンサー,牡3,56,原田和真,1:13.8,3/4,6-4,38.5,14.4,5,460(+4),77.0,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),5,2,3,クリアミッション,牡3,56,大庭和弥,1:14.0,1.1/4,9-9,38.4,138.6,12,504(-6),51.0,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),6,4,7,タニセンシロッコ,牡3,56,江田照男,1:14.1,1/2,4-4,39.0,133.1,11,446(-2),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),7,7,14,ゴラッソゴール,牡3,54,菅原明良,1:14.2,1/2,6-7,38.8,6.8,4,466(-2),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),8,2,4,レインボービーム,牡3,56,横山和生,1:14.4,1.1/4,12-12,38.5,304.5,15,470(0),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),9,6,12,ロマンスピネル,牝3,54,柴田善臣,1:14.5,3/4,4-4,39.4,82.5,10,440(0),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),10,5,9,パシスタ,牡3,56,宮崎北斗,1:14.7,1.1/4,2-2,39.8,23.6,6,488(0),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),11,3,5,トゥーヤング,牝3,51,山田敬士,1:15.1,2,9-9,39.5,296.1,14,438(+4),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),12,1,2,トミケンリューヤー,牡3,56,横山武史,1:15.2,1/2,6-7,39.9,31.0,7,498(+2),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),13,7,13,ミコキャビンクルー,牝3,52,木幡育也,1:15.3,3/4,13-13,39.2,163.5,13,454(0),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),14,6,11,シゲルエリス,牡3,56,田中勝春,1:15.5,1.1/4,13-15,39.3,36.3,8,482(+6),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),15,5,10,エスケイムーン,セ3,56,武士沢友,1:15.8,2,16-16,39.4,516.9,16,436(-2),,ダ,1200m,晴,良
202006010103,2020年01月05日,1回中山1日目,3歳未勝利  (混)[指](馬齢),16,4,8,ロイヤルパープル,牡3,56,マーフィ,1:16.0,3/4,13-13,39.9,3.1,1,516(+2),,ダ,1200m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),1,1,1,ミッキープリンス,牡3,56,マーフィ,1:58.1,,4-3-5-3,40.2,2.7,1,508(0),600.0,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),2,5,10,レオファイナリスト,牡3,56,木幡巧也,1:58.2,1/2,2-3-2-1,40.6,12.7,5,478(0),240.0,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),3,8,15,ホテルカリホルニア,牡3,56,フォーリ,1:58.7,3,6-6-5-3,40.8,6.0,3,490(0),150.0,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),4,2,3,タイタンブレイン,牡3,56,三浦皇成,1:58.7,アタマ,9-6-7-5,40.6,19.9,7,538(0),90.0,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),5,4,7,スウィング,牡3,56,ミナリク,1:59.1,2.1/2,12-12-11-9,40.7,13.6,6,476(0),60.0,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),6,3,5,トーセンスプリント,牡3,56,横山和生,1:59.5,2.1/2,8-9-7-7,41.4,142.5,13,476(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),7,2,4,サンメディル,牡3,56,大野拓弥,2:00.1,3.1/2,2-2-1-2,42.5,6.4,4,492(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),8,7,13,エメラルホープ,牡3,56,石橋脩,2:00.6,3,13-13-13-13,41.4,66.8,10,534(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),9,6,11,ココアブラウン,牡3,54,菅原明良,2:00.7,1/2,6-6-7-8,42.6,180.6,14,456(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),10,4,8,ライフオブリバイブ,牡3,56,畑端省吾,2:01.4,4,11-11-12-9,42.8,28.3,8,462(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),11,6,12,ニシノハヤシゲル,牡3,56,田辺裕信,2:02.1,4,4-5-2-5,44.4,4.2,2,500(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),12,5,9,スターズウィッシュ,牡3,56,江田照男,2:03.0,5,15-15-15-14,42.3,75.7,11,440(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),13,8,16,パディオアヘッド,牡3,53,藤田菜七,2:03.2,1.1/4,14-14-14-15,42.7,35.6,9,498(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),14,3,6,サンノーフォーク,牡3,56,黛弘人,2:04.5,8,9-10-7-12,46.4,222.4,15,458(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),15,7,14,ペイシャワイルド,牝3,54,伴啓太,2:04.7,1,15-16-15-16,44.1,327.8,16,510(0),,ダ,1800m,晴,良
202006010104,2020年01月05日,1回中山1日目,3歳新馬  (混)[指](馬齢),16,1,2,アトラップレーヴ,牡3,56,岩部純二,2:05.5,5,1-1-4-9,47.7,82.5,12,448(0),,ダ,1800m,晴,良
202006010105,2020年01月05日,1回中山1日目,3歳1勝クラス  (混)(特指)(馬齢),1,6,6,サトノフラッグ,牡3,56,マーフィ,2:01.4,,3-5-4-2,35.3,1.6,1,494(+2),730.0,芝,2000m,晴,良
202006010105,2020年01月05日,1回中山1日目,3歳1勝クラス  (混)(特指)(馬齢),2,5,5,アンサンブル,牝3,54,フォーリ,2:01.9,3,6-6-6-4,35.5,13.1,6,466(+4),290.0,芝,2000m,晴,良
